iter	Passed	Remaining
773	1112	324
774	1113	323
775	1117	322
776	1118	320
777	1118	319
778	1118	317
779	1120	315
780	1121	314
781	1121	312
782	1122	311
783	1122	309
784	1123	307
785	1123	305
786	1124	304
787	1124	302
788	1125	300
789	1125	299
790	1125	297
791	1126	295
792	1126	294
793	1126	292
794	1127	290
795	1127	288
796	1127	287
797	1128	285
798	1128	283
799	1129	282
800	1129	280
801	1129	278
802	1130	277
803	1130	275
804	1130	273
805	1131	272
806	1131	270
807	1132	269
808	1132	267
809	1132	265
810	1133	264
811	1133	262
812	1134	260
813	1134	259
814	1135	257
815	1135	256
816	1136	254
817	1136	252
818	1137	251
819	1137	249
820	1138	248
821	1138	246
822	1139	245
823	1139	243
824	1140	241
825	1140	240
826	1141	238
827	1152	239
828	1153	237
829	1153	236
830	1154	234
831	1155	233
832	1155	231
833	1155	230
834	1156	228
835	1156	226
836	1156	225
837	1157	223
838	1157	222
839	1157	220
840	1158	218
841	1158	217
842	1158	215
843	1159	214
844	1159	212
845	1159	211
846	1160	209
847	1160	208
848	1160	206
849	1161	204
850	1161	203
851	1161	201
852	1162	200
853	1162	198
854	1162	197
855	1163	195
856	1163	194
857	1164	192
858	1165	191
859	1165	189
860	1165	188
861	1166	186
862	1166	185
863	1166	183
864	1167	182
865	1167	180
866	1167	179
867	1168	177
868	1168	176
869	1168	174
870	1169	173
871	1169	171
872	1169	170
873	1170	168
874	1170	167
875	1170	165
876	1171	164
877	1171	162
878	1171	161
879	1172	159
880	1172	158
881	1172	156
882	1173	155
883	1173	154
884	1173	152
885	1174	151
886	1174	149
887	1174	148
888	1175	146
889	1176	145
890	1177	144
891	1177	142
892	1177	141
893	1178	139
894	1178	138
895	1178	136
896	1179	135
897	1179	133
898	1179	132
899	1180	131
900	1180	129
901	1180	128
902	1181	126
903	1181	125
904	1181	124
905	1182	122
906	1182	121
907	1183	119
908	1183	118
909	1183	117
910	1184	115
911	1186	114
912	1186	113
913	1187	111
914	1187	110
915	1187	108
916	1188	107
917	1188	106
918	1189	104
919	1189	103
920	1189	102
921	1190	100
922	1190	99
923	1191	97
924	1191	96
925	1191	95
926	1192	93
927	1192	92
928	1192	91
929	1193	89
930	1193	88
931	1194	87
932	1194	85
933	1195	84
934	1195	83
935	1195	81
936	1196	80
937	1197	79
938	1197	77
939	1197	76
940	1198	75
941	1198	73
942	1198	72
943	1199	71
944	1199	69
945	1200	68
946	1200	67
947	1201	65
948	1201	64
949	1201	63
950	1202	61
951	1202	60
952	1203	59
953	1203	58
954	1203	56
955	1204	55
956	1204	54
957	1205	52
958	1208	51
959	1209	50
960	1209	49
961	1210	47
962	1210	46
963	1210	45
964	1211	43
965	1211	42
966	1212	41
967	1212	40
968	1212	38
969	1213	37
970	1213	36
971	1213	34
972	1214	33
973	1215	32
974	1215	31
975	1215	29
976	1217	28
977	1217	27
978	1218	26
979	1219	24
980	1220	23
981	1220	22
982	1222	21
983	1223	19
984	1223	18
985	1223	17
986	1224	16
987	1224	14
988	1224	13
989	1225	12
990	1225	11
991	1226	9
992	1227	8
993	1227	7
994	1227	6
995	1228	4
996	1228	3
997	1228	2
998	1229	1
999	1229	0

943	4091	242
944	4093	238
945	4094	233
946	4095	229
947	4096	224
948	4098	220
949	4099	215
950	4101	211
951	4102	206
952	4103	202
953	4103	197
954	4104	193
955	4104	188
956	4105	184
957	4105	179
958	4106	175
959	4106	171
960	4107	166
961	4108	162
962	4109	157
963	4109	153
964	4110	149
965	4111	144
966	4111	140
967	4112	135
968	4112	131
969	4115	127
970	4115	122
971	4116	118
972	4116	114
973	4117	109
974	4117	105
975	4118	101
976	4118	96
977	4119	92
978	4119	88
979	4120	84
980	4120	79
981	4121	75
982	4121	71
983	4122	67
984	4122	62
985	4122	58
986	4123	54
987	4123	50
988	4124	45
989	4124	41
990	4124	37
991	4125	33
992	4125	29
993	4126	24
994	4126	20
995	4127	16
996	4127	12
997	4128	8
998	4128	4
999	4128	0
